Arquivo 1,Arquivo 2,Distância Média
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0078.csv,265.8940668287272
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0079.csv,200.4993945380467
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0080.csv,258.3987187691152
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0081.csv,226.6217812934311
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0082.csv,258.51584635934734
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0083.csv,214.87023725130672
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0084.csv,250.44501271244783
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0085.csv,249.70387077269135
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0086.csv,262.97904836277417
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0087.csv,203.05443156982017
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0088.csv,270.12893140830414
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0089.csv,271.1979171088325
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0091.csv,219.15355519451288
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0092.csv,185.74579014377562
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0093.csv,183.5819008719606
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0094.csv,157.87773229784872
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0095.csv,193.24660967243813
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0096.csv,153.81243954032956
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0097.csv,179.75340691877975
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0098.csv,175.86316898689083
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0099.csv,120.25231923129296
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0100.csv,204.10075595219624
/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0001.csv,/home/carlosguttemberg/Downloads/lfpw/testset/long_format/image_0101.csv,133.33582832946794
